,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,3,3,2,63.4,57.0,6.1,6.18,3.89,3253.305386526581
1,0.38,2,5,4,60.3,61.0,4.68,4.71,2.83,127.83949629109247
2,0.52,5,3,4,61.8,56.0,5.19,5.16,3.2,1183.864329058617
3,1.1,5,4,5,61.3,56.0,6.65,6.69,4.09,7123.648903094516
4,2.28,5,4,2,61.6,57.0,8.44,8.37,5.18,15921.448928062788
5,2.01,3,1,4,60.8,58.0,8.08,8.16,4.94,13326.529261088415
6,1.06,5,4,2,62.2,57.0,6.51,6.49,4.04,5201.406616351111
7,0.7,4,6,3,60.1,58.0,5.81,5.83,3.5,3046.128617267117
8,0.73,4,2,4,59.7,59.0,5.94,5.81,3.51,2554.194633790119
9,0.73,5,3,8,61.6,55.0,5.8,5.82,3.58,5123.471500045582
10,1.0,2,7,4,64.1,58.0,6.24,6.33,4.03,6215.29489034926
11,0.33,5,4,6,60.1,57.0,4.48,4.51,2.7,881.3090553635066
12,0.54,5,1,6,61.6,57.0,5.25,5.23,3.23,1767.21468177733
13,0.33,5,7,4,61.9,53.0,4.49,4.46,2.77,793.4796206604451
14,0.51,1,7,4,64.4,54.0,5.06,5.03,3.25,1754.5637652009991
15,0.51,5,6,3,62.4,55.0,5.09,5.14,3.19,1531.754191625263
16,0.3,2,2,3,63.2,55.0,4.25,4.29,2.7,-2058.05015285455
17,2.66,2,3,2,64.3,60.0,8.71,8.65,5.58,18475.274899275166
18,0.92,4,5,3,61.8,59.0,6.21,6.25,3.85,4659.46848188327
19,0.3,5,4,8,62.2,55.0,4.3,4.32,2.68,1664.8784506265984
20,1.0,3,3,3,62.0,54.0,6.43,6.47,4.0,4567.716676559541
21,0.34,3,5,5,61.1,57.0,4.51,4.54,2.76,455.0915563401504
22,1.01,3,5,2,62.4,58.0,6.37,6.41,3.99,4771.562418215837
23,0.87,5,5,5,62.0,55.0,6.1,6.13,3.79,5422.439839202038
24,1.26,4,7,2,61.9,58.0,6.88,6.81,4.24,7762.997799658298
25,0.38,4,6,5,60.2,58.0,4.66,4.71,2.82,1281.4912335167792
26,0.55,5,5,6,62.3,54.0,5.29,5.27,3.29,3134.213958905664
27,0.65,4,4,3,61.9,58.0,5.54,5.51,3.42,1967.2175819594868
28,0.41,4,7,6,62.2,58.0,4.8,4.78,2.98,2388.4698473547905
29,0.7,3,2,1,63.2,59.0,5.62,5.59,3.54,564.6811857147159
30,1.03,3,2,5,62.9,53.0,6.45,6.5,4.07,5558.7187480175835
31,0.34,5,5,6,61.3,56.0,4.52,4.56,2.78,1288.960774102834
32,0.73,5,2,7,61.7,53.0,5.8,5.84,3.59,4280.100484036544
33,0.83,5,7,2,62.1,56.0,6.0,6.04,3.74,4139.762591384639
34,0.51,3,4,3,63.0,53.0,5.1,5.13,3.22,581.9084314826096
35,1.06,5,6,4,61.3,57.0,6.54,6.57,4.02,6888.148648369182
36,0.41,5,7,5,61.8,57.0,4.75,4.8,2.95,2020.021711417081
37,1.03,5,5,4,60.4,56.0,6.59,6.56,3.97,6304.7585310772065
38,0.32,5,7,3,61.3,55.0,4.41,4.46,2.72,182.0219248380863
39,0.3,4,1,5,62.6,58.0,4.32,4.27,2.69,-1020.3749580088352
40,0.32,3,7,6,60.1,58.0,4.41,4.44,2.66,1442.5066932595382
41,0.33,5,4,5,61.7,56.0,4.44,4.47,2.75,357.720558817472
42,0.25,5,4,5,62.7,54.0,4.05,4.08,2.55,-345.2330353931293
43,0.3,5,5,5,61.0,56.0,4.37,4.35,2.66,413.89548045149877
44,1.26,3,5,8,60.0,60.0,7.04,7.09,4.24,10109.823379400174
45,1.14,5,1,5,61.6,56.0,6.71,6.73,4.14,6515.778141810808
46,1.51,4,3,3,62.8,60.0,7.22,7.14,4.51,9204.186200260456
47,0.51,3,6,2,62.0,57.0,5.09,5.13,3.17,697.8849738625795
48,0.32,5,4,8,61.0,57.0,4.44,4.48,2.72,1840.6168491792487
49,0.94,4,6,2,60.4,59.0,6.37,6.34,3.84,4631.400903352889
50,0.51,4,6,4,60.6,58.0,5.15,5.12,3.11,1900.2023275629726
51,1.12,5,3,2,61.4,56.0,6.69,6.66,4.1,5408.839292546061
52,1.33,4,4,2,60.3,58.0,7.19,7.16,4.33,7418.734636203568
53,0.32,4,3,4,61.7,59.0,4.35,4.4,2.7,-728.6600170762131
54,0.7,5,6,4,62.6,57.0,5.63,5.68,3.54,3724.8574744214766
55,1.35,5,3,7,61.9,57.0,7.06,7.09,4.38,10047.77335863171
56,0.23,2,5,4,63.8,57.0,3.93,3.84,2.48,-1190.1984928537859
57,0.9,3,5,1,61.9,59.0,6.16,6.18,3.82,3281.4127296302267
58,1.03,5,7,3,61.3,56.0,6.48,6.54,3.99,6420.7350734571755
59,1.02,2,6,2,62.8,64.0,6.36,6.32,3.98,5024.0737763468405
60,0.55,5,3,6,61.7,57.0,5.28,5.26,3.25,2494.6489199796597
61,0.34,5,6,8,61.7,56.0,4.46,4.48,2.76,2655.9202866579053
62,0.71,4,7,6,60.0,58.0,5.92,5.84,3.53,5024.545825644547
63,0.55,2,4,3,63.6,61.0,5.22,5.16,3.3,778.2448679795862
64,0.54,5,4,4,61.5,55.0,5.24,5.27,3.23,1679.3852470742695
